,neighborhood,time,value,category
485,South End,1960.0,3934.0,High School or GED
486,South End,1960.0,1185.0,Some College or Associate's Degree
487,South End,1960.0,963.0,Bachelor's Degree or Higher
488,South End,1970.0,8062.0,less than High School
489,South End,1970.0,3376.0,High School or GED
490,South End,1970.0,1130.0,Some College or Associate's Degree
491,South End,1970.0,1717.0,Bachelor's Degree or Higher
492,South End,1980.0,5648.0,less than High School
493,South End,1980.0,3824.0,High School or GED
494,South End,1980.0,2229.0,Some College or Associate's Degree
495,South End,1980.0,4890.0,Bachelor's Degree or Higher
496,South End,1990.0,4388.0,less than High School
497,South End,1990.0,2446.0,High School or GED
498,South End,1990.0,3369.0,Some College or Associate's Degree
499,South End,1990.0,8258.0,Bachelor's Degree or Higher
500,South End,2000.0,3778.0,less than High School
501,South End,2000.0,2866.0,High School or GED
502,South End,2000.0,2960.0,Some College or Associate's Degree
503,South End,2000.0,10697.0,Bachelor's Degree or Higher
504,West End,1950.0,5369.0,less than High School
505,West End,1950.0,1361.0,High School or GED
506,West End,1950.0,378.0,Some College or Associate's Degree
507,West End,1950.0,361.0,Bachelor's Degree or Higher
